job_id,requirement_text,requirement_level,skill_raw,skill_normalized,ability_category,base_weight,role_relevance,weighted_score
"J001","至少熟练掌握Python、Java、Go或C++中的一种并具备算法基础","必备","Python/Java/Go/C++","至少一门后端语言","编程与计算机基础","3","1.0","3.0"
"J001","设计任务规划、上下文、记忆和工具调用等Agent核心模块","职责","Agent架构","Agent核心架构","Agent Loop","3","1.0","3.0"
"J001","建设RAG知识库并优化复杂场景生成效果","职责","RAG","RAG全链路","RAG与检索","3","1.0","3.0"
"J001","运用Prompt与工作流编排提升稳定性和可控性","职责","Prompt Engineering","Prompt工程","Prompt与上下文工程","3","1.0","3.0"
"J001","使用Function Calling、MCP和多智能体完成项目开发","必备","Function Calling/MCP/Multi-Agent","工具与多智能体集成","MCP与外部集成","3","1.0","3.0"
"J001","建设权限、过滤、沙箱和Agent安全边界","职责","权限控制","权限与安全边界","安全与权限","3","1.0","3.0"
"J001","监测成功率、延迟、Token消耗等指标","职责","Agent Evaluation","Agent评估与可观测性","Agent Evaluation","3","1.0","3.0"
"J001","高并发分布式后端经验属于加分能力","加分","分布式系统","高并发后端与中间件","后端与数据库","2","1.0","2.0"
"J001","SFT、RLHF或DPO等后训练经验加分","加分","SFT/RLHF/DPO","模型后训练","模型训练与算法","2","1.0","2.0"
"J002","熟练使用Go和Python并具备架构设计能力","必备","Golang/Python","Go与Python","编程与计算机基础","3","0.7","2.1"
"J002","参与Agent、RAG和Workflow平台功能迭代","职责","Agent/RAG/Workflow","AI应用平台核心能力","Agent Loop","3","0.7","2.1"
"J002","理解数据库、缓存和消息中间件","必备","数据库/缓存/消息队列","数据与中间件","后端与数据库","3","0.7","2.1"
"J002","熟悉Docker和Kubernetes云原生平台","必备","Docker/Kubernetes","云原生部署","部署与可观测性","3","0.7","2.1"
"J002","进行AI应用平台性能和稳定性优化","职责","性能与稳定性","服务可靠性与可观测性","部署与可观测性","3","0.7","2.1"
"J002","能够编写单元测试和集成测试","必备","单元测试/集成测试","软件测试与代码质量","编程与计算机基础","3","0.7","2.1"
"J003","具备Java或Python编程功底","必备","Java/Python","Java或Python","编程与计算机基础","3","1.0","3.0"
"J003","建设任务规划、工具调用、记忆和多智能体等Agent Runtime能力","职责","Agent架构","Agent核心架构","Agent Loop","3","1.0","3.0"
"J003","理解LLM上下文、Prompt和能力边界","必备","大语言模型原理","LLM基础与能力边界","LLM基础","3","1.0","3.0"
"J003","具备RAG和检索重排、混合检索实践者加分","加分","RAG/Hybrid Search","RAG与检索优化","RAG与检索","2","1.0","2.0"
"J003","有LangGraph等Agent框架或多智能体经验者加分","加分","LangGraph/Multi-Agent","有状态Agent工作流","工作流编排","2","1.0","2.0"
"J003","参与Agent可观测、评测和稳定性体系建设","职责","Agent Evaluation","Agent评估","Agent Evaluation","3","1.0","3.0"
"J003","Docker、Kubernetes和服务化经验加分","加分","Docker/Kubernetes","云原生部署","部署与可观测性","2","1.0","2.0"
"J004","熟练Python、Go、C++或Java中的一种","必备","Python/Go/C++/Java","至少一门系统或后端语言","编程与计算机基础","3","1.0","3.0"
"J004","为推荐引擎建设高性能Agent框架","职责","Agent架构","Agent核心架构","Agent Loop","3","1.0","3.0"
"J004","开发多智能体协作与任务处理能力","职责","Multi-Agent","多智能体协作","工作流编排","3","1.0","3.0"
"J004","建设记忆和知识能力","职责","Memory","状态与记忆","状态与记忆","3","1.0","3.0"
"J004","建设鉴权和全生命周期安全能力","职责","权限控制","权限与安全边界","安全与权限","3","1.0","3.0"
"J004","建设Agent观测能力","职责","OpenTelemetry","Tracing与可观测性","部署与可观测性","3","1.0","3.0"
"J004","Agent Skills或Agent框架经验优先","加分","Agent Skills","工具能力封装","Tool Calling","2","1.0","2.0"
"J005","熟练Python并具有独立模块开发能力","必备","Python","Python","编程与计算机基础","3","1.0","3.0"
"J005","实现规划、工具调用、记忆和应用层组成的Agent系统","职责","Agent架构","Agent核心架构","Agent Loop","3","1.0","3.0"
"J005","使用ReAct等策略优化任务拆解","职责","ReAct","Agent决策循环","Agent Loop","3","1.0","3.0"
"J005","开发复杂工作流与多智能体协作","职责","Multi-Agent","多智能体协作","工作流编排","3","1.0","3.0"
"J005","搭建Agent反馈、评测与迭代体系","职责","Agent Evaluation","Agent评估","Agent Evaluation","3","1.0","3.0"
"J005","成熟个人Agent项目或开源成果加分","加分","GitHub/Demo","可验证项目证据","编程与计算机基础","2","1.0","2.0"
"J005","强化学习相关经验为加分项","加分","强化学习","模型后训练","模型训练与算法","2","1.0","2.0"
"J006","Python路线需熟练Python与面向对象开发","必备","Python","Python","编程与计算机基础","3","1.0","3.0"
"J006","Java路线需掌握Java、JVM和并发","必备","Java/JVM/并发","Java工程基础","编程与计算机基础","3","1.0","3.0"
"J006","Java路线需掌握Spring Boot和REST接口","必备","Spring Boot","Java微服务后端","后端与数据库","3","1.0","3.0"
"J006","构建文档处理、向量化、混合检索和RAG优化","职责","RAG/Hybrid Search","RAG全链路与检索优化","RAG与检索","3","1.0","3.0"
"J006","至少了解一种向量数据库和Embedding模型","必备","Milvus/Chroma/Weaviate/Elasticsearch","向量数据库","RAG与检索","3","1.0","3.0"
"J006","开发多智能体工具调用和任务规划调度","职责","Tool Calling/Multi-Agent","工具调用与多智能体协作","Tool Calling","3","1.0","3.0"
"J006","熟悉MySQL及至少一种NoSQL或搜索数据库","必备","MySQL/NoSQL","数据库与搜索引擎","后端与数据库","3","1.0","3.0"
"J006","熟悉Docker容器部署","必备","Docker","容器化部署","部署与可观测性","3","1.0","3.0"
"J006","Rerank、Query Expansion和ReAct经验加分","加分","Rerank/Query Expansion/ReAct","高级检索与Agent策略","RAG与检索","2","1.0","2.0"
"J007","熟练Python并具备全栈交付能力","必备","Python","Python","编程与计算机基础","3","1.0","3.0"
"J007","构建Tool Use、Reflection和历史上下文机制","职责","Tool Use","Tool Calling","Tool Calling","3","1.0","3.0"
"J007","实现Pipeline RAG和Agentic RAG并进行质量评估","职责","RAG Evaluation","RAG评估","Agent Evaluation","3","1.0","3.0"
"J007","开发上下文压缩、索引和质量判断","职责","Context Engineering","上下文工程","Prompt与上下文工程","3","1.0","3.0"
"J007","开发和托管MCP Server与Client","职责","MCP","MCP与工具协议","MCP与外部集成","3","1.0","3.0"
"J007","后端使用FastAPI并接入数据库和向量存储","职责","FastAPI","Python Web服务","后端与数据库","3","1.0","3.0"
"J007","使用Elasticsearch、PgVector和Chroma等检索存储","职责","Elasticsearch/PgVector/Chroma","向量数据库","RAG与检索","3","1.0","3.0"
"J007","使用Docker和DevOps完成应用交付","职责","Docker","容器化部署","部署与可观测性","3","1.0","3.0"
"J008","精通Python并能开发完整AI应用","必备","Python","Python","编程与计算机基础","3","0.7","2.1"
"J008","设计并迭代Prompt、RAG和Agent算法链路","职责","Prompt/RAG/Agent","LLM应用链路","Agent Loop","3","0.7","2.1"
"J008","理解Web框架、数据库、缓存和消息队列","必备","数据库/缓存/消息队列","后端与中间件","后端与数据库","3","0.7","2.1"
"J008","React或Vue前端能力属于岗位组成","必备","React/Vue","现代前端工程","编程与计算机基础","3","0.7","2.1"
"J008","Agent框架源码理解或二次开发经验加分","加分","LangChain/LlamaIndex/AutoGen","Agent框架实践","工作流编排","2","0.7","1.4"
"J008","机器学习与深度学习基础加分","加分","机器学习/深度学习","模型与算法基础","模型训练与算法","2","0.7","1.4"
"J009","Python基础扎实并熟悉至少一种AI应用框架","必备","Python","Python","编程与计算机基础","3","0.7","2.1"
"J009","建设Harness、Skills、多智能体和RAG应用","职责","Agent Skills/Multi-Agent/RAG","生产级Agent应用","Agent Loop","3","0.7","2.1"
"J009","建设GraphRAG、混合检索和向量数据库","职责","GraphRAG/Hybrid Search/Milvus","高级RAG与向量检索","RAG与检索","3","0.7","2.1"
"J009","建立EVAL评估体系","职责","Agent Evaluation","Agent评估","Agent Evaluation","3","0.7","2.1"
"J009","使用Kubernetes、Argo Workflows完成工程流程","职责","Kubernetes/Argo Workflows","云原生工作流","部署与可观测性","3","0.7","2.1"
"J009","使用OpenTelemetry和Prometheus进行全链路观测","职责","OpenTelemetry/Prometheus","Tracing与可观测性","部署与可观测性","3","0.7","2.1"
"J009","要求LoRA和DPO等模型优化实践","必备","LoRA/DPO","模型微调与对齐","模型训练与算法","3","0.7","2.1"
"J010","熟悉Python且最好同时掌握C++","必备","Python/C++","Python与C++","编程与计算机基础","3","0.3","0.9"
"J010","使用vLLM或SGLang建设在线推理集群","职责","vLLM/SGLang","模型推理服务","模型训练与算法","3","0.3","0.9"
"J010","理解并行推理、量化和KV Cache优化","必备","并行推理/量化/KV Cache","推理性能优化","模型训练与算法","3","0.3","0.9"
